"","calibrated","logger","Date","Time"
"550",0,1,2022-03-09,"04:40:00"
"551",0,1,2022-03-09,"04:50:00"
"552",0,1,2022-03-09,"05:00:00"
"553",0,1,2022-03-09,"05:10:00"
"554",0,1,2022-03-09,"05:20:00"
"555",0,1,2022-03-09,"05:30:00"
"556",0,1,2022-03-09,"05:40:00"
"557",3,1,2022-03-09,"05:50:00"
"558",33.3,1,2022-03-09,"06:00:00"
"559",120,1,2022-03-09,"06:10:00"
"560",279.3,1,2022-03-09,"06:20:00"
"561",498,1,2022-03-09,"06:30:00"
"562",842.8,1,2022-03-09,"06:40:00"
"563",1118.1,1,2022-03-09,"06:50:00"
"564",1660.5,1,2022-03-09,"07:00:00"
"565",1812.7,1,2022-03-09,"07:10:00"
"566",2555.8,1,2022-03-09,"07:20:00"
"567",3242.3,1,2022-03-09,"07:30:00"
"568",3802.9,1,2022-03-09,"07:40:00"
"569",4044.8,1,2022-03-09,"07:50:00"
"570",4840.3,1,2022-03-09,"08:00:00"
"571",5532.9,1,2022-03-09,"08:10:00"
"572",6015.9,1,2022-03-09,"08:20:00"
"573",6624.8,1,2022-03-09,"08:30:00"
"574",7197.5,1,2022-03-09,"08:40:00"
"575",7784.2,1,2022-03-09,"08:50:00"
"576",8422.4,1,2022-03-09,"09:00:00"
"577",8899.3,1,2022-03-09,"09:10:00"
"578",9554.6,1,2022-03-09,"09:20:00"
"579",10051.6,1,2022-03-09,"09:30:00"
"580",10769.5,1,2022-03-09,"09:40:00"
"581",10930.8,1,2022-03-09,"09:50:00"
"582",11954.1,1,2022-03-09,"10:00:00"
"583",12568.1,1,2022-03-09,"10:10:00"
"584",12373.5,1,2022-03-09,"10:20:00"
"585",12156.7,1,2022-03-09,"10:30:00"
"586",13345.4,1,2022-03-09,"10:40:00"
"587",13114.5,1,2022-03-09,"10:50:00"
"588",13549,1,2022-03-09,"11:00:00"
"589",13740.6,1,2022-03-09,"11:10:00"
"590",13948.3,1,2022-03-09,"11:20:00"
"591",13685.1,1,2022-03-09,"11:30:00"
"592",14016.8,1,2022-03-09,"11:40:00"
"593",14247.7,1,2022-03-09,"11:50:00"
"594",14475.6,1,2022-03-09,"12:00:00"
